order_details_id,order_id,order_date,order_time,item_id
42,16,2023-01-01,0 days 13:34:07,106.0
43,17,2023-01-01,0 days 13:53:00,101.0
44,17,2023-01-01,0 days 13:53:00,116.0
45,17,2023-01-01,0 days 13:53:00,124.0
46,17,2023-01-01,0 days 13:53:00,125.0
47,17,2023-01-01,0 days 13:53:00,117.0
48,17,2023-01-01,0 days 13:53:00,127.0
49,17,2023-01-01,0 days 13:53:00,128.0
50,17,2023-01-01,0 days 13:53:00,129.0
51,17,2023-01-01,0 days 13:53:00,118.0
52,17,2023-01-01,0 days 13:53:00,131.0
53,18,2023-01-01,0 days 13:57:08,111.0
54,19,2023-01-01,0 days 13:59:09,110.0
55,19,2023-01-01,0 days 13:59:09,120.0
56,20,2023-01-01,0 days 14:03:08,107.0
57,20,2023-01-01,0 days 14:03:08,124.0
58,21,2023-01-01,0 days 14:14:29,110.0
59,22,2023-01-01,0 days 14:16:26,124.0
60,22,2023-01-01,0 days 14:16:26,110.0
61,22,2023-01-01,0 days 14:16:26,105.0
62,23,2023-01-01,0 days 14:19:03,105.0
63,24,2023-01-01,0 days 14:23:01,101.0
64,24,2023-01-01,0 days 14:23:01,110.0
65,24,2023-01-01,0 days 14:23:01,113.0
66,24,2023-01-01,0 days 14:23:01,119.0
67,25,2023-01-01,0 days 14:44:44,120.0
68,25,2023-01-01,0 days 14:44:44,106.0
69,26,2023-01-01,0 days 14:54:26,108.0
70,26,2023-01-01,0 days 14:54:26,132.0
71,27,2023-01-01,0 days 15:11:17,101.0
72,27,2023-01-01,0 days 15:11:17,108.0
73,27,2023-01-01,0 days 15:11:17,131.0
74,28,2023-01-01,0 days 15:35:46,103.0
75,29,2023-01-01,0 days 15:41:01,126.0
76,30,2023-01-01,0 days 15:41:25,106.0
77,31,2023-01-01,0 days 15:50:18,129.0
78,31,2023-01-01,0 days 15:50:18,113.0
79,32,2023-01-01,0 days 15:53:18,107.0
80,32,2023-01-01,0 days 15:53:18,126.0
81,32,2023-01-01,0 days 15:53:18,110.0
82,32,2023-01-01,0 days 15:53:18,117.0
83,33,2023-01-01,0 days 15:54:08,101.0
84,33,2023-01-01,0 days 15:54:08,126.0
85,34,2023-01-01,0 days 16:21:21,114.0
86,35,2023-01-01,0 days 16:32:04,126.0
87,35,2023-01-01,0 days 16:32:04,112.0
88,35,2023-01-01,0 days 16:32:04,113.0
89,35,2023-01-01,0 days 16:32:04,106.0
90,36,2023-01-01,0 days 16:54:09,101.0
91,36,2023-01-01,0 days 16:54:09,108.0
92,37,2023-01-01,0 days 16:56:09,117.0
93,37,2023-01-01,0 days 16:56:09,129.0
94,38,2023-01-01,0 days 17:03:00,109.0
95,38,2023-01-01,0 days 17:03:00,110.0
96,39,2023-01-01,0 days 17:07:23,117.0
97,40,2023-01-01,0 days 17:14:36,125.0
98,40,2023-01-01,0 days 17:14:36,105.0
99,41,2023-01-01,0 days 17:15:20,125.0
100,41,2023-01-01,0 days 17:15:20,126.0
101,42,2023-01-01,0 days 17:28:09,107.0
102,42,2023-01-01,0 days 17:28:09,124.0
103,42,2023-01-01,0 days 17:28:09,129.0
104,42,2023-01-01,0 days 17:28:09,118.0
105,43,2023-01-01,0 days 17:38:34,103.0
106,43,2023-01-01,0 days 17:38:34,117.0
107,43,2023-01-01,0 days 17:38:34,118.0
108,44,2023-01-01,0 days 17:54:20,130.0
109,45,2023-01-01,0 days 17:55:48,125.0
110,45,2023-01-01,0 days 17:55:48,109.0
111,45,2023-01-01,0 days 17:55:48,106.0
112,46,2023-01-01,0 days 18:25:51,104.0
113,46,2023-01-01,0 days 18:25:51,108.0
114,46,2023-01-01,0 days 18:25:51,106.0
115,47,2023-01-01,0 days 18:26:34,105.0
116,47,2023-01-01,0 days 18:26:34,132.0
117,48,2023-01-01,0 days 18:26:42,104.0
118,48,2023-01-01,0 days 18:26:42,126.0
119,48,2023-01-01,0 days 18:26:42,119.0
120,48,2023-01-01,0 days 18:26:42,122.0
121,49,2023-01-01,0 days 18:33:00,120.0
122,50,2023-01-01,0 days 18:41:01,
123,51,2023-01-01,0 days 18:48:28,101.0
124,51,2023-01-01,0 days 18:48:28,112.0
125,52,2023-01-01,0 days 18:53:02,109.0
126,52,2023-01-01,0 days 18:53:02,129.0
127,52,2023-01-01,0 days 18:53:02,122.0
128,53,2023-01-01,0 days 18:54:17,112.0
129,53,2023-01-01,0 days 18:54:17,123.0
130,54,2023-01-01,0 days 19:01:45,119.0
131,54,2023-01-01,0 days 19:01:45,106.0
132,55,2023-01-01,0 days 19:03:19,118.0
133,55,2023-01-01,0 days 19:03:19,122.0
134,56,2023-01-01,0 days 19:07:00,108.0
135,56,2023-01-01,0 days 19:07:00,128.0
136,56,2023-01-01,0 days 19:07:00,105.0
137,57,2023-01-01,0 days 19:10:51,108.0
138,58,2023-01-01,0 days 19:30:40,124.0
139,58,2023-01-01,0 days 19:30:40,113.0
140,59,2023-01-01,0 days 19:40:08,127.0
141,59,2023-01-01,0 days 19:40:08,112.0
142,59,2023-01-01,0 days 19:40:08,113.0
143,60,2023-01-01,0 days 20:05:16,104.0
144,60,2023-01-01,0 days 20:05:16,125.0
145,61,2023-01-01,0 days 20:08:43,101.0
146,61,2023-01-01,0 days 20:08:43,117.0
147,62,2023-01-01,0 days 20:50:16,101.0
148,62,2023-01-01,0 days 20:50:16,123.0
149,63,2023-01-01,0 days 20:51:42,112.0
150,64,2023-01-01,0 days 20:52:08,107.0
151,65,2023-01-01,0 days 21:16:00,112.0
152,65,2023-01-01,0 days 21:16:00,120.0
153,65,2023-01-01,0 days 21:16:00,122.0
154,65,2023-01-01,0 days 21:16:00,123.0
155,66,2023-01-01,0 days 21:47:55,108.0
156,66,2023-01-01,0 days 21:47:55,110.0
157,67,2023-01-01,0 days 22:03:40,105.0
158,68,2023-01-01,0 days 22:07:32,108.0
159,68,2023-01-01,0 days 22:07:32,117.0
160,68,2023-01-01,0 days 22:07:32,117.0
161,69,2023-01-01,0 days 22:12:13,101.0
162,70,2023-01-02,0 days 11:38:51,127.0
163,70,2023-01-02,0 days 11:38:51,121.0
164,71,2023-01-02,0 days 11:40:50,106.0
165,72,2023-01-02,0 days 11:57:25,131.0
166,73,2023-01-02,0 days 11:58:56,106.0
167,74,2023-01-02,0 days 12:01:12,124.0
168,74,2023-01-02,0 days 12:01:12,129.0
169,74,2023-01-02,0 days 12:01:12,130.0
170,74,2023-01-02,0 days 12:01:12,123.0
171,75,2023-01-02,0 days 12:10:15,117.0
172,75,2023-01-02,0 days 12:10:15,128.0
173,75,2023-01-02,0 days 12:10:15,111.0
174,76,2023-01-02,0 days 12:21:17,107.0
175,76,2023-01-02,0 days 12:21:17,109.0
176,76,2023-01-02,0 days 12:21:17,127.0
177,76,2023-01-02,0 days 12:21:17,122.0
178,77,2023-01-02,0 days 12:22:46,101.0
179,77,2023-01-02,0 days 12:22:46,109.0
180,78,2023-01-02,0 days 12:28:14,107.0
181,78,2023-01-02,0 days 12:28:14,108.0
182,78,2023-01-02,0 days 12:28:14,125.0
183,78,2023-01-02,0 days 12:28:14,110.0
184,78,2023-01-02,0 days 12:28:14,122.0
185,78,2023-01-02,0 days 12:28:14,106.0
186,79,2023-01-02,0 days 12:29:11,110.0
187,79,2023-01-02,0 days 12:29:11,112.0
188,79,2023-01-02,0 days 12:29:11,106.0
189,80,2023-01-02,0 days 12:35:38,113.0
190,80,2023-01-02,0 days 12:35:38,106.0
191,81,2023-01-02,0 days 12:40:01,106.0
192,82,2023-01-02,0 days 12:45:51,107.0
193,82,2023-01-02,0 days 12:45:51,102.0
194,82,2023-01-02,0 days 12:45:51,122.0
195,82,2023-01-02,0 days 12:45:51,132.0
196,83,2023-01-02,0 days 12:53:27,105.0
197,84,2023-01-02,0 days 13:13:41,113.0
198,85,2023-01-02,0 days 13:34:49,108.0
199,85,2023-01-02,0 days 13:34:49,108.0
200,85,2023-01-02,0 days 13:34:49,117.0
201,85,2023-01-02,0 days 13:34:49,114.0
202,86,2023-01-02,0 days 13:40:31,109.0
203,87,2023-01-02,0 days 14:01:02,110.0
204,87,2023-01-02,0 days 14:01:02,129.0
205,87,2023-01-02,0 days 14:01:02,123.0
206,87,2023-01-02,0 days 14:01:02,123.0
207,88,2023-01-02,0 days 14:10:08,124.0
208,89,2023-01-02,0 days 14:30:19,121.0
209,89,2023-01-02,0 days 14:30:19,106.0
210,90,2023-01-02,0 days 15:08:48,120.0
211,90,2023-01-02,0 days 15:08:48,106.0
212,91,2023-01-02,0 days 15:14:43,101.0
213,91,2023-01-02,0 days 15:14:43,104.0
214,91,2023-01-02,0 days 15:14:43,113.0
215,92,2023-01-02,0 days 15:17:02,101.0
216,92,2023-01-02,0 days 15:17:02,117.0
217,92,2023-01-02,0 days 15:17:02,117.0
218,92,2023-01-02,0 days 15:17:02,127.0
219,92,2023-01-02,0 days 15:17:02,113.0
220,92,2023-01-02,0 days 15:17:02,118.0
221,92,2023-01-02,0 days 15:17:02,131.0
222,92,2023-01-02,0 days 15:17:02,123.0
223,92,2023-01-02,0 days 15:17:02,114.0
224,93,2023-01-02,0 days 15:29:31,120.0
225,94,2023-01-02,0 days 16:17:16,110.0
226,94,2023-01-02,0 days 16:17:16,105.0
227,95,2023-01-02,0 days 16:18:04,111.0
228,95,2023-01-02,0 days 16:18:04,118.0
229,96,2023-01-02,0 days 16:21:20,111.0
230,97,2023-01-02,0 days 16:45:33,107.0
231,98,2023-01-02,0 days 17:18:18,108.0
232,98,2023-01-02,0 days 17:18:18,111.0
233,99,2023-01-02,0 days 17:45:42,117.0
234,100,2023-01-02,0 days 17:46:17,109.0
235,101,2023-01-02,0 days 17:51:33,102.0
236,101,2023-01-02,0 days 17:51:33,113.0
237,101,2023-01-02,0 days 17:51:33,121.0
238,101,2023-01-02,0 days 17:51:33,122.0
239,102,2023-01-02,0 days 17:54:04,101.0
240,102,2023-01-02,0 days 17:54:04,119.0
241,103,2023-01-02,0 days 18:02:09,123.0
242,104,2023-01-02,0 days 18:02:12,101.0
243,104,2023-01-02,0 days 18:02:12,103.0
244,104,2023-01-02,0 days 18:02:12,127.0
245,104,2023-01-02,0 days 18:02:12,132.0
246,105,2023-01-02,0 days 18:12:01,109.0
247,105,2023-01-02,0 days 18:12:01,113.0
248,105,2023-01-02,0 days 18:12:01,119.0
249,106,2023-01-02,0 days 18:12:13,129.0
250,106,2023-01-02,0 days 18:12:13,122.0
251,107,2023-01-02,0 days 18:25:09,102.0
252,107,2023-01-02,0 days 18:25:09,117.0
253,107,2023-01-02,0 days 18:25:09,122.0
254,107,2023-01-02,0 days 18:25:09,132.0
255,108,2023-01-02,0 days 18:25:25,108.0
256,108,2023-01-02,0 days 18:25:25,109.0
257,108,2023-01-02,0 days 18:25:25,123.0
258,109,2023-01-02,0 days 18:27:50,110.0
259,109,2023-01-02,0 days 18:27:50,117.0
260,109,2023-01-02,0 days 18:27:50,113.0
261,109,2023-01-02,0 days 18:27:50,119.0
262,110,2023-01-02,0 days 18:36:19,107.0
263,110,2023-01-02,0 days 18:36:19,111.0
264,110,2023-01-02,0 days 18:36:19,121.0
265,110,2023-01-02,0 days 18:36:19,122.0
266,111,2023-01-02,0 days 18:38:01,102.0
267,111,2023-01-02,0 days 18:38:01,124.0
268,111,2023-01-02,0 days 18:38:01,113.0
269,111,2023-01-02,0 days 18:38:01,130.0
270,112,2023-01-02,0 days 18:41:40,113.0
271,113,2023-01-02,0 days 18:50:21,102.0
272,113,2023-01-02,0 days 18:50:21,129.0
273,113,2023-01-02,0 days 18:50:21,105.0
274,114,2023-01-02,0 days 18:59:32,113.0
275,114,2023-01-02,0 days 18:59:32,120.0
276,115,2023-01-02,0 days 19:05:17,107.0
277,115,2023-01-02,0 days 19:05:17,111.0
278,115,2023-01-02,0 days 19:05:17,106.0
279,116,2023-01-02,0 days 19:18:49,124.0
280,117,2023-01-02,0 days 19:23:02,118.0
281,117,2023-01-02,0 days 19:23:02,120.0
282,118,2023-01-02,0 days 19:26:59,119.0
283,118,2023-01-02,0 days 19:26:59,131.0
284,119,2023-01-02,0 days 19:32:29,125.0
285,120,2023-01-02,0 days 19:35:07,108.0
286,120,2023-01-02,0 days 19:35:07,109.0
287,120,2023-01-02,0 days 19:35:07,131.0
288,121,2023-01-02,0 days 19:38:48,101.0
289,121,2023-01-02,0 days 19:38:48,125.0
290,121,2023-01-02,0 days 19:38:48,120.0
291,121,2023-01-02,0 days 19:38:48,105.0
292,122,2023-01-02,0 days 19:50:19,117.0
293,123,2023-01-02,0 days 20:12:09,110.0
294,124,2023-01-02,0 days 20:12:34,101.0
295,124,2023-01-02,0 days 20:12:34,120.0
296,124,2023-01-02,0 days 20:12:34,122.0
297,124,2023-01-02,0 days 20:12:34,114.0
298,125,2023-01-02,0 days 20:31:06,
299,126,2023-01-02,0 days 20:53:42,132.0
300,127,2023-01-02,0 days 20:58:23,113.0
301,128,2023-01-02,0 days 21:05:06,122.0
302,129,2023-01-02,0 days 21:13:02,107.0
303,129,2023-01-02,0 days 21:13:02,114.0
304,130,2023-01-02,0 days 21:14:55,109.0
305,130,2023-01-02,0 days 21:14:55,110.0
306,130,2023-01-02,0 days 21:14:55,129.0
307,130,2023-01-02,0 days 21:14:55,105.0
308,131,2023-01-02,0 days 21:33:10,104.0
309,131,2023-01-02,0 days 21:33:10,124.0
310,131,2023-01-02,0 days 21:33:10,126.0
311,131,2023-01-02,0 days 21:33:10,123.0
312,132,2023-01-02,0 days 21:42:45,113.0
313,133,2023-01-02,0 days 22:00:17,101.0
314,133,2023-01-02,0 days 22:00:17,109.0
315,133,2023-01-02,0 days 22:00:17,114.0
316,134,2023-01-02,0 days 22:13:24,107.0
317,134,2023-01-02,0 days 22:13:24,105.0
318,134,2023-01-02,0 days 22:13:24,123.0
319,135,2023-01-02,0 days 22:29:34,132.0
320,136,2023-01-02,0 days 22:32:49,124.0
321,136,2023-01-02,0 days 22:32:49,118.0
322,137,2023-01-03,0 days 11:34:10,128.0
323,137,2023-01-03,0 days 11:34:10,113.0
324,137,2023-01-03,0 days 11:34:10,122.0
325,138,2023-01-03,0 days 11:44:50,102.0
326,138,2023-01-03,0 days 11:44:50,125.0
327,138,2023-01-03,0 days 11:44:50,127.0
328,138,2023-01-03,0 days 11:44:50,120.0
329,139,2023-01-03,0 days 11:57:39,124.0
330,140,2023-01-03,0 days 12:26:44,119.0
331,140,2023-01-03,0 days 12:26:44,132.0
332,141,2023-01-03,0 days 13:16:01,108.0
333,142,2023-01-03,0 days 13:33:59,126.0
334,143,2023-01-03,0 days 13:41:36,102.0
335,143,2023-01-03,0 days 13:41:36,108.0
336,143,2023-01-03,0 days 13:41:36,109.0
337,143,2023-01-03,0 days 13:41:36,129.0
338,143,2023-01-03,0 days 13:41:36,113.0
339,143,2023-01-03,0 days 13:41:36,119.0
340,143,2023-01-03,0 days 13:41:36,106.0
341,143,2023-01-03,0 days 13:41:36,132.0
342,144,2023-01-03,0 days 13:44:28,101.0
343,144,2023-01-03,0 days 13:44:28,107.0
344,144,2023-01-03,0 days 13:44:28,102.0
345,144,2023-01-03,0 days 13:44:28,104.0
346,144,2023-01-03,0 days 13:44:28,124.0
347,144,2023-01-03,0 days 13:44:28,125.0
348,144,2023-01-03,0 days 13:44:28,112.0
349,144,2023-01-03,0 days 13:44:28,105.0
350,144,2023-01-03,0 days 13:44:28,105.0
351,144,2023-01-03,0 days 13:44:28,122.0
352,144,2023-01-03,0 days 13:44:28,106.0
353,144,2023-01-03,0 days 13:44:28,132.0
354,145,2023-01-03,0 days 13:53:48,114.0
355,146,2023-01-03,0 days 14:22:10,102.0
356,146,2023-01-03,0 days 14:22:10,125.0
357,146,2023-01-03,0 days 14:22:10,109.0
358,147,2023-01-03,0 days 14:32:51,
359,148,2023-01-03,0 days 14:40:42,128.0
360,149,2023-01-03,0 days 14:48:45,131.0
361,150,2023-01-03,0 days 14:49:58,113.0
362,151,2023-01-03,0 days 15:09:34,105.0
363,151,2023-01-03,0 days 15:09:34,123.0
364,152,2023-01-03,0 days 15:09:42,109.0
365,152,2023-01-03,0 days 15:09:42,131.0
366,152,2023-01-03,0 days 15:09:42,106.0
367,152,2023-01-03,0 days 15:09:42,114.0
368,153,2023-01-03,0 days 15:16:34,129.0
369,154,2023-01-03,0 days 15:22:43,119.0
370,155,2023-01-03,0 days 15:28:59,104.0
371,155,2023-01-03,0 days 15:28:59,111.0
372,155,2023-01-03,0 days 15:28:59,113.0
373,155,2023-01-03,0 days 15:28:59,118.0
374,156,2023-01-03,0 days 15:42:19,111.0
375,156,2023-01-03,0 days 15:42:19,106.0
376,157,2023-01-03,0 days 15:43:03,117.0
377,157,2023-01-03,0 days 15:43:03,128.0
378,157,2023-01-03,0 days 15:43:03,120.0
379,157,2023-01-03,0 days 15:43:03,130.0
380,158,2023-01-03,0 days 15:54:30,127.0
381,158,2023-01-03,0 days 15:54:30,106.0
382,159,2023-01-03,0 days 15:59:22,125.0
383,159,2023-01-03,0 days 15:59:22,106.0
384,160,2023-01-03,0 days 16:35:33,108.0
385,161,2023-01-03,0 days 16:43:46,109.0
386,161,2023-01-03,0 days 16:43:46,122.0
387,161,2023-01-03,0 days 16:43:46,
388,162,2023-01-03,0 days 16:51:22,107.0
389,163,2023-01-03,0 days 16:54:54,109.0
390,163,2023-01-03,0 days 16:54:54,113.0
391,163,2023-01-03,0 days 16:54:54,114.0
392,164,2023-01-03,0 days 16:56:33,102.0
393,164,2023-01-03,0 days 16:56:33,113.0
394,165,2023-01-03,0 days 16:57:37,119.0
395,166,2023-01-03,0 days 16:58:51,119.0
396,167,2023-01-03,0 days 17:00:49,101.0
397,167,2023-01-03,0 days 17:00:49,117.0
398,167,2023-01-03,0 days 17:00:49,113.0
399,168,2023-01-03,0 days 17:02:27,107.0
400,168,2023-01-03,0 days 17:02:27,132.0
401,169,2023-01-03,0 days 17:15:48,125.0
402,169,2023-01-03,0 days 17:15:48,110.0
403,169,2023-01-03,0 days 17:15:48,120.0
404,170,2023-01-03,0 days 17:21:31,109.0
405,171,2023-01-03,0 days 17:23:03,111.0
406,172,2023-01-03,0 days 17:29:24,111.0
407,172,2023-01-03,0 days 17:29:24,123.0
408,172,2023-01-03,0 days 17:29:24,106.0
409,173,2023-01-03,0 days 17:35:30,102.0
410,173,2023-01-03,0 days 17:35:30,108.0
411,173,2023-01-03,0 days 17:35:30,132.0
412,174,2023-01-03,0 days 17:37:49,107.0
413,174,2023-01-03,0 days 17:37:49,102.0
414,174,2023-01-03,0 days 17:37:49,102.0
415,174,2023-01-03,0 days 17:37:49,110.0
416,175,2023-01-03,0 days 17:50:51,117.0
417,176,2023-01-03,0 days 17:51:57,102.0
418,176,2023-01-03,0 days 17:51:57,118.0
419,177,2023-01-03,0 days 17:54:36,111.0
420,177,2023-01-03,0 days 17:54:36,106.0
421,178,2023-01-03,0 days 18:15:03,118.0
422,179,2023-01-03,0 days 18:20:14,109.0
423,179,2023-01-03,0 days 18:20:14,120.0
424,179,2023-01-03,0 days 18:20:14,132.0
425,180,2023-01-03,0 days 18:33:34,108.0
426,180,2023-01-03,0 days 18:33:34,119.0
427,181,2023-01-03,0 days 18:49:32,129.0
428,182,2023-01-03,0 days 18:50:10,115.0
429,182,2023-01-03,0 days 18:50:10,118.0
430,183,2023-01-03,0 days 18:54:55,111.0
431,183,2023-01-03,0 days 18:54:55,130.0
432,183,2023-01-03,0 days 18:54:55,130.0
433,184,2023-01-03,0 days 18:59:05,109.0
434,185,2023-01-03,0 days 19:08:33,120.0
435,185,2023-01-03,0 days 19:08:33,130.0
436,186,2023-01-03,0 days 19:36:00,129.0
437,186,2023-01-03,0 days 19:36:00,105.0
438,186,2023-01-03,0 days 19:36:00,130.0
439,186,2023-01-03,0 days 19:36:00,106.0
440,187,2023-01-03,0 days 19:37:12,124.0
441,187,2023-01-03,0 days 19:37:12,130.0
442,188,2023-01-03,0 days 20:08:39,124.0
443,188,2023-01-03,0 days 20:08:39,113.0
444,188,2023-01-03,0 days 20:08:39,118.0
445,189,2023-01-03,0 days 20:12:14,107.0
446,189,2023-01-03,0 days 20:12:14,106.0
447,190,2023-01-03,0 days 20:14:23,101.0
448,190,2023-01-03,0 days 20:14:23,125.0
449,190,2023-01-03,0 days 20:14:23,112.0
450,190,2023-01-03,0 days 20:14:23,119.0
451,191,2023-01-03,0 days 20:24:50,102.0
452,191,2023-01-03,0 days 20:24:50,103.0
453,192,2023-01-03,0 days 20:30:08,120.0
454,192,2023-01-03,0 days 20:30:08,105.0
455,193,2023-01-03,0 days 20:55:47,107.0
456,193,2023-01-03,0 days 20:55:47,102.0
457,193,2023-01-03,0 days 20:55:47,103.0
458,194,2023-01-03,0 days 21:21:24,101.0
459,195,2023-01-03,0 days 21:25:20,101.0
460,196,2023-01-03,0 days 21:40:14,120.0
461,196,2023-01-03,0 days 21:40:14,122.0
462,196,2023-01-03,0 days 21:40:14,132.0
463,197,2023-01-03,0 days 21:47:48,125.0
464,197,2023-01-03,0 days 21:47:48,110.0
465,197,2023-01-03,0 days 21:47:48,127.0
466,197,2023-01-03,0 days 21:47:48,121.0
467,198,2023-01-03,0 days 21:55:42,107.0
468,198,2023-01-03,0 days 21:55:42,103.0
469,199,2023-01-03,0 days 22:10:38,103.0
470,200,2023-01-03,0 days 22:24:05,
471,201,2023-01-03,0 days 22:29:59,116.0
472,201,2023-01-03,0 days 22:29:59,104.0
473,201,2023-01-03,0 days 22:29:59,117.0
474,201,2023-01-03,0 days 22:29:59,
475,202,2023-01-03,0 days 22:50:29,102.0
476,203,2023-01-04,0 days 11:30:48,102.0
477,203,2023-01-04,0 days 11:30:48,127.0
478,203,2023-01-04,0 days 11:30:48,112.0
479,203,2023-01-04,0 days 11:30:48,114.0
480,204,2023-01-04,0 days 11:36:25,122.0
481,205,2023-01-04,0 days 11:43:54,102.0
482,205,2023-01-04,0 days 11:43:54,103.0
483,205,2023-01-04,0 days 11:43:54,119.0
484,206,2023-01-04,0 days 11:45:10,111.0
485,206,2023-01-04,0 days 11:45:10,113.0
486,206,2023-01-04,0 days 11:45:10,122.0
487,207,2023-01-04,0 days 12:03:58,122.0
488,208,2023-01-04,0 days 12:12:05,101.0
489,208,2023-01-04,0 days 12:12:05,101.0
490,208,2023-01-04,0 days 12:12:05,103.0
491,208,2023-01-04,0 days 12:12:05,113.0
492,208,2023-01-04,0 days 12:12:05,114.0
493,209,2023-01-04,0 days 12:29:17,102.0
494,210,2023-01-04,0 days 12:34:13,131.0
495,211,2023-01-04,0 days 12:54:20,113.0
496,212,2023-01-04,0 days 13:16:03,110.0
497,213,2023-01-04,0 days 13:20:39,125.0
498,214,2023-01-04,0 days 13:39:16,110.0
499,214,2023-01-04,0 days 13:39:16,117.0
500,214,2023-01-04,0 days 13:39:16,129.0
501,214,2023-01-04,0 days 13:39:16,130.0
502,215,2023-01-04,0 days 13:44:49,126.0
503,216,2023-01-04,0 days 14:31:56,101.0
504,216,2023-01-04,0 days 14:31:56,124.0
505,216,2023-01-04,0 days 14:31:56,109.0
506,217,2023-01-04,0 days 14:35:03,108.0
507,217,2023-01-04,0 days 14:35:03,131.0
508,218,2023-01-04,0 days 14:35:11,122.0
509,219,2023-01-04,0 days 14:42:01,101.0
510,219,2023-01-04,0 days 14:42:01,124.0
511,219,2023-01-04,0 days 14:42:01,118.0
512,219,2023-01-04,0 days 14:42:01,131.0
513,220,2023-01-04,0 days 15:31:59,109.0
514,220,2023-01-04,0 days 15:31:59,110.0
515,220,2023-01-04,0 days 15:31:59,111.0
516,220,2023-01-04,0 days 15:31:59,122.0
517,221,2023-01-04,0 days 15:33:18,124.0
518,221,2023-01-04,0 days 15:33:18,119.0
519,221,2023-01-04,0 days 15:33:18,114.0
520,222,2023-01-04,0 days 15:46:38,125.0
521,222,2023-01-04,0 days 15:46:38,120.0
522,223,2023-01-04,0 days 16:08:20,112.0
523,224,2023-01-04,0 days 16:39:58,103.0
524,224,2023-01-04,0 days 16:39:58,117.0
525,224,2023-01-04,0 days 16:39:58,111.0
526,224,2023-01-04,0 days 16:39:58,106.0
527,225,2023-01-04,0 days 16:41:48,101.0
528,225,2023-01-04,0 days 16:41:48,101.0
529,225,2023-01-04,0 days 16:41:48,105.0
530,226,2023-01-04,0 days 16:59:39,108.0
531,227,2023-01-04,0 days 17:24:39,101.0
532,227,2023-01-04,0 days 17:24:39,114.0
533,228,2023-01-04,0 days 17:31:24,127.0
534,229,2023-01-04,0 days 17:37:57,127.0
535,229,2023-01-04,0 days 17:37:57,119.0
536,229,2023-01-04,0 days 17:37:57,130.0
537,230,2023-01-04,0 days 17:58:38,106.0
538,231,2023-01-04,0 days 18:04:18,102.0
539,231,2023-01-04,0 days 18:04:18,111.0
540,231,2023-01-04,0 days 18:04:18,119.0
541,232,2023-01-04,0 days 18:21:59,101.0
542,232,2023-01-04,0 days 18:21:59,123.0
543,233,2023-01-04,0 days 18:26:51,131.0
544,234,2023-01-04,0 days 18:36:09,103.0
545,234,2023-01-04,0 days 18:36:09,117.0
546,234,2023-01-04,0 days 18:36:09,111.0
547,235,2023-01-04,0 days 18:51:30,102.0
548,236,2023-01-04,0 days 19:21:04,108.0
549,236,2023-01-04,0 days 19:21:04,126.0
550,237,2023-01-04,0 days 19:27:48,126.0
551,238,2023-01-04,0 days 19:45:15,130.0
552,239,2023-01-04,0 days 19:57:52,117.0
553,239,2023-01-04,0 days 19:57:52,106.0
554,240,2023-01-04,0 days 20:10:24,125.0
555,241,2023-01-04,0 days 20:11:25,120.0
556,241,2023-01-04,0 days 20:11:25,123.0
557,242,2023-01-04,0 days 20:15:29,116.0
558,242,2023-01-04,0 days 20:15:29,106.0
